ORF_A	ORF_B	Gene_A	Gene_B 
YDR416W	YHL004W	SYF1	MRP4 
YDR416W	YLL036C	SYF1	PRP19 
YDR416W	YDR416W	SYF1	SYF1 
YDR416W	YGR129W	SYF1	SYF2 
YDR416W	YGR195W	SYF1	SKI6 
YDR416W	YKL098W	SYF1	MTC2 
YDL108W	YFL029C	KIN28	CAK1 
YDL108W	YNL025C	KIN28	SSN8 
YDL108W	YGL134W	KIN28	PCL10 
YDL108W	YPR025C	KIN28	CCL1 
YDL108W	YDL140C	KIN28	RPO21 
YDL108W	YER171W	KIN28	RAD3 
YMR240C	YMR240C	CUS1	CUS1 
YMR240C	YPL016W	CUS1	SWI1 
YMR240C	YOR319W	CUS1	HSH49 
YGL071W	YML007W	AFT1	YAP1 
YGL071W	YMR109W	AFT1	MYO5 
YGL071W	YGR211W	AFT1	ZPR1 
YGL071W	YIR018W	AFT1	YAP5 
YGL071W	YGL071W	AFT1	AFT1 
YPL115C	YPL115C	BEM3	BEM3 
YPL115C	YPL161C	BEM3	BEM4 
YBL063W	YBL063W	KIP1	KIP1 
YBL063W	YIL061C	KIP1	SNP1 
YBL063W	YDL013W	KIP1	SLX5 
YIL046W	YML082W	MET30	YML082W 
YIL046W	YNL245C	MET30	CWC25 
YIL046W	YNL103W	MET30	MET4 
YIL046W	YLR082C	MET30	SRL2 
YIL046W	YJR130C	MET30	STR2 
YIL046W	YOR087W	MET30	YVC1 
YIL046W	YJL058C	MET30	BIT61 
YIL046W	YIL046W	MET30	MET30 
YIL046W	YJR131W	MET30	MNS1 
YIL046W	YOR207C	MET30	RET1 
YMR292W	YMR292W	GOT1	GOT1 
YDL008W	YKL022C	APC11	CDC16 
YDL008W	YLR127C	APC11	APC2 
YDL008W	YDL008W	APC11	APC11 
YNL126W	YOR043W	SPC98	WHI2 
YNR017W	YPL063W	TIM23	TIM50 
YNR017W	YNR017W	TIM23	TIM23 
YNL050C	YNL050C	YNL050C	YNL050C 
YCR100C	YDR414C	YCR100C	ERD1 
YCR100C	YCR100C	YCR100C	YCR100C 
YOR115C	YOR115C	TRS33	TRS33 
YDL220C	YLR233C	CDC13	EST1 
YDL220C	YDR082W	CDC13	STN1 
YDL220C	YNL102W	CDC13	POL1 
YDL220C	YLR010C	CDC13	TEN1 
YDL220C	YDL220C	CDC13	CDC13 
YPL084W	YPL084W	BRO1	BRO1 
YGR260W	YPL076W	TNA1	GPI2 
YGR260W	YMR257C	TNA1	PET111 
YGR260W	YKL154W	TNA1	SRP102 
YGR260W	YJL196C	TNA1	ELO1 
YGR260W	YML075C	TNA1	HMG1 
YGR260W	YKL008C	TNA1	LAC1 
YGR260W	YGR284C	TNA1	ERV29 
YGR260W	YHR110W	TNA1	ERP5 
YGR260W	YNL044W	TNA1	YIP3 
YGR260W	YKL065C	TNA1	YET1 
YGR260W	YHR142W	TNA1	CHS7 
YGR260W	YLR372W	TNA1	SUR4 
YGR260W	YMR150C	TNA1	IMP1 
YGR260W	YJL117W	TNA1	PHO86 
YGR260W	YPR028W	TNA1	YOP1 
YGR260W	YIL047C	TNA1	SYG1 
YGR260W	YGR260W	TNA1	TNA1 
YGR260W	YJR117W	TNA1	STE24 
YGR260W	YPL019C	TNA1	VTC3 
YGR260W	YOR016C	TNA1	ERP4 
YGR260W	YMR299C	TNA1	DYN3 
YGR260W	YML048W	TNA1	GSF2 
YGR260W	YHR026W	TNA1	VMA16 
YGR260W	YKR052C	TNA1	MRS4 
YGR260W	YHR048W	TNA1	YHK8 
YGR260W	YIL016W	TNA1	SNL1 
YLR417W	YLR417W	VPS36	VPS36 
YLR417W	YPL002C	VPS36	SNF8 
YLR417W	YMR077C	VPS36	VPS20 
YLR417W	YPL065W	VPS36	VPS28 
YIR003W	YLR191W	AIM21	PEX13 
YIR003W	YMR109W	AIM21	MYO5 
YIR003W	YIR003W	AIM21	AIM21 
YIR003W	YKL129C	AIM21	MYO3 
YIR003W	YJL020C	AIM21	BBC1 
YLR390W	YLR390W	ECM19	ECM19 
YKL022C	YLR127C	CDC16	APC2 
YKL022C	YOR249C	CDC16	APC5 
YKL022C	YKL022C	CDC16	CDC16 
YKL022C	YLR102C	CDC16	APC9 
YKL022C	YNL172W	CDC16	APC1 
YHR157W	YLR329W	REC104	REC102 
YAL014C	YER133W	SYN8	GLC7 
YIL074C	YNL311C	SER33	SKP2 
YIL074C	YLR291C	SER33	GCD7 
YIL074C	YIL074C	SER33	SER33 
YDL145C	YFR051C	COP1	RET2 
YDL145C	YDR238C	COP1	SEC26 
YDL145C	YIL076W	COP1	SEC28 
YDL145C	YER112W	COP1	LSM4 
YDL145C	YDL145C	COP1	COP1 
YDL145C	YNL287W	COP1	SEC21 
YDL145C	YGL137W	COP1	SEC27 
YKR077W	YPR120C	MSA2	CLB5 
YKR077W	YNL087W	MSA2	TCB2 
YKR077W	YKR077W	MSA2	MSA2 
YOR033C	YOR033C	EXO1	EXO1 
YJR013W	YPL094C	GPI14	SEC62 
YER107C	YMR047C	GLE2	NUP116 
YPR054W	YPR054W	SMK1	SMK1 
YMR075W	YMR075W	RCO1	RCO1 
YDR088C	YDR088C	SLU7	SLU7 
YDR088C	YGR074W	SLU7	SMD1 
YDR088C	YGR006W	SLU7	PRP18 
YLR377C	YLR377C	FBP1	FBP1 
YLR377C	YNL189W	FBP1	SRP1 
YDR118W	YOR249C	APC4	APC5 
YDR118W	YMR134W	APC4	YMR134W 
YDR118W	YGL115W	APC4	SNF4 
YDR118W	YLR401C	APC4	DUS3 
YDR118W	YDR477W	APC4	SNF1 
YDR118W	YPR018W	APC4	RLF2 
YDR118W	YHR166C	APC4	CDC23 
YDR118W	YGL254W	APC4	FZF1 
YIR034C	YOR138C	LYS1	RUP1 
YIR034C	YKL012W	LYS1	PRP40 
YKL008C	YMR298W	LAC1	LIP1 
YKL008C	YPL240C	LAC1	HSP82 
YKL008C	YPR048W	LAC1	TAH18 
YKL008C	YPL076W	LAC1	GPI2 
YKL008C	YMR058W	LAC1	FET3 
YKL008C	YMR215W	LAC1	GAS3 
YKL008C	YPL264C	LAC1	YPL264C 
YKL008C	YKL008C	LAC1	LAC1 
YKL008C	YKL146W	LAC1	AVT3 
YKL008C	YML064C	LAC1	TEM1 
YKL008C	YKL065C	LAC1	YET1 
YKL008C	YLR372W	LAC1	SUR4 
YKL008C	YKL174C	LAC1	TPO5 
YML011C	YOR039W	RAD33	CKB2 
YPL048W	YPL240C	CAM1	HSP82 
YIL159W	YMR032W	BNR1	HOF1 
YIL159W	YLR191W	BNR1	PEX13 
YIL159W	YLR310C	BNR1	CDC25 
YIL159W	YKL129C	BNR1	MYO3 
YIL159W	YIL159W	BNR1	BNR1 
YIL159W	YLL017W	BNR1	YLL017W 
YIL159W	YMR232W	BNR1	FUS2 
YIL159W	YMR109W	BNR1	MYO5 
YIL159W	YOR122C	BNR1	PFY1 
YIL159W	YJL020C	BNR1	BBC1 
YIL159W	YOR156C	BNR1	NFI1 
YIL159W	YNL271C	BNR1	BNI1 
YGL120C	YLR424W	PRP43	SPP382 
YER179W	YPR048W	DMC1	TAH18 
YER179W	YER179W	DMC1	DMC1 
YER179W	YML064C	DMC1	TEM1 
YER179W	YIL105C	DMC1	SLM1 
YGL116W	YKL101W	CDC20	HSL1 
YGL116W	YJL030W	CDC20	MAD2 
YGL116W	YJL013C	CDC20	MAD3 
YGL116W	YGL116W	CDC20	CDC20 
YGL116W	YMR179W	CDC20	SPT21 
YGL116W	YHR166C	CDC20	CDC23 
YGL116W	YGR188C	CDC20	BUB1 
YKL219W	YKL219W	COS9	COS9 
YKL219W	YLL061W	COS9	MMP1 
YMR001C	YPR174C	CDC5	YPR174C 
YMR001C	YOR373W	CDC5	NUD1 
YMR001C	YOR192CA	CDC5	YOR192CA 
YMR001C	YMR036C	CDC5	MIH1 
YMR001C	YMR001C	CDC5	CDC5 
YMR001C	YPL192C	CDC5	PRM3 
YGL227W	YNL117W	VID30	MLS1 
YGL227W	YLR027C	VID30	AAT2 
YGL227W	YJR096W	VID30	YJR096W 
YGL227W	YKL152C	VID30	GPM1 
YGL227W	YGL227W	VID30	VID30 
YGL227W	YML080W	VID30	DUS1 
YDR506C	YPR201W	YDR506C	ARR3 
YDR506C	YJR010CA	YDR506C	SPC1 
YDR506C	YDR506C	YDR506C	YDR506C 
YDR299W	YKL138CA	BFR2	HSK3 
YDR299W	YER127W	BFR2	LCP5 
YBR298C	YKL154W	MAL31	SRP102 
YBR298C	YNL121C	MAL31	TOM70 
YBR298C	YNL008C	MAL31	ASI3 
YBR298C	YBR298C	MAL31	MAL31 
YBR298C	YMR279C	MAL31	YMR279C 
YBR298C	YKL065C	MAL31	YET1 
YBR298C	YGL051W	MAL31	MST27 
YBR298C	YLR372W	MAL31	SUR4 
YBR298C	YDL212W	MAL31	SHR3 
YBR298C	YDR284C	MAL31	DPP1 
YBR298C	YMR264W	MAL31	CUE1 
YBR298C	YCR034W	MAL31	FEN1 
YBR298C	YGR041W	MAL31	BUD9 
YBR298C	YML048W	MAL31	GSF2 
YBR298C	YEL027W	MAL31	VMA3 
YBR298C	YHL042W	MAL31	YHL042W 
YBR298C	YDR276C	MAL31	PMP3 
YAL003W	YBR118W	EFB1	TEF2 
YAL003W	YPR080W	EFB1	TEF1 
YHR185C	YHR185C	PFS1	PFS1 
YHR185C	YIL007C	PFS1	NAS2 
YHR185C	YPL204W	PFS1	HRR25 
YHR185C	YMR016C	PFS1	SOK2 
YBR187W	YCR061W	GDT1	YCR061W 
YPL049C	YPR082C	DIG1	DIB1 
YPL049C	YPR017C	DIG1	DSS4 
YPL049C	YPL049C	DIG1	DIG1 
YPL049C	YPL070W	DIG1	MUK1 
YKL159C	YKL159C	RCN1	RCN1 
YJL210W	YLR083C	PEX2	EMP70 
YJL210W	YJL210W	PEX2	PEX2 
YAL054C	YDR216W	ACS1	ADR1 
YDL020C	YIL007C	RPN4	NAS2 
YDR174W	YML015C	HMO1	TAF11 
YDR174W	YHL002W	HMO1	HSE1 
YDR174W	YDR510W	HMO1	SMT3 
YDR174W	YML064C	HMO1	TEM1 
YDR174W	YDR335W	HMO1	MSN5 
YDR174W	YDR174W	HMO1	HMO1 
YDR174W	YIL013C	HMO1	PDR11 
YBR055C	YBR055C	PRP6	PRP6 
YBR055C	YDL064W	PRP6	UBC9 
YBR055C	YER172C	PRP6	BRR2 
YBR055C	YPR082C	PRP6	DIB1 
YIL018W	YPL004C	RPL2B	LSP1 
YGR040W	YML099C	KSS1	ARG81 
YGR040W	YPL240C	KSS1	HSP82 
YGR040W	YHR084W	KSS1	STE12 
YGR040W	YMR032W	KSS1	HOF1 
YGR040W	YLR362W	KSS1	STE11 
YGR040W	YNL233W	KSS1	BNI4 
YGR040W	YPL115C	KSS1	BEM3 
YGR040W	YGR040W	KSS1	KSS1 
YGR040W	YNL053W	KSS1	MSG5 
YGR040W	YPL049C	KSS1	DIG1 
YGL210W	YNL272C	YPT32	SEC2 
YGL210W	YOR326W	YPT32	MYO2 
YGL210W	YGL210W	YPT32	YPT32 
YOR191W	YOR191W	ULS1	ULS1 
YOR191W	YPR154W	ULS1	PIN3 
YLR293C	YLR293C	GSP1	GSP1 
YLR293C	YPL125W	GSP1	KAP120 
YLR293C	YOR160W	GSP1	MTR10 
YLR293C	YMR308C	GSP1	PSE1 
YLR293C	YLR347C	GSP1	KAP95 
YLR293C	YNL189W	GSP1	SRP1 
YHR031C	YHR031C	RRM3	RRM3 
YJR118C	YPL094C	ILM1	SEC62 
YGR279C	YLR191W	SCW4	PEX13 
YBR290W	YMR215W	BSD2	GAS3 
YBR290W	YHR133C	BSD2	NSG1 
YBR290W	YLR018C	BSD2	POM34 
YBR290W	YBR290W	BSD2	BSD2 
YBR290W	YGR284C	BSD2	ERV29 
YBR290W	YGL051W	BSD2	MST27 
YBR290W	YLR372W	BSD2	SUR4 
YBR290W	YDL212W	BSD2	SHR3 
YBR290W	YPR156C	BSD2	TPO3 
YBR290W	YJL117W	BSD2	PHO86 
YBR290W	YPL240C	BSD2	HSP82 
YBR290W	YEL036C	BSD2	ANP1 
YBR290W	YJR117W	BSD2	STE24 
YBR290W	YCL052C	BSD2	PBN1 
YBR290W	YCR024CA	BSD2	PMP1 
YBR290W	YPL132W	BSD2	COX11 
YBR290W	YML048W	BSD2	GSF2 
YBR290W	YCR011C	BSD2	ADP1 
YBR290W	YIL016W	BSD2	SNL1 
YBR290W	YPL076W	BSD2	GPI2 
YBR290W	YJL196C	BSD2	ELO1 
YBR290W	YKL008C	BSD2	LAC1 
YBR290W	YKL065C	BSD2	YET1 
YBR290W	YDR297W	BSD2	SUR2 
YBR290W	YLR004C	BSD2	THI73 
YBR290W	YPL087W	BSD2	YDC1 
YBR290W	YDL015C	BSD2	TSC13 
YBR290W	YPR028W	BSD2	YOP1 
YBR290W	YGL012W	BSD2	ERG4 
YBR290W	YCR034W	BSD2	FEN1 
YBR290W	YPL227C	BSD2	ALG5 
YBR290W	YOR016C	BSD2	ERP4 
YBR290W	YIL114C	BSD2	POR2 
YGL123W	YJL190C	RPS2	RPS22A 
YGL123W	YPL081W	RPS2	RPS9A 
YGL123W	YLR048W	RPS2	RPS0B 
YOR231W	YOR231W	MKK1	MKK1 
YPL176C	YPR071W	TRE1	YPR071W 
YJR134C	YPL240C	SGM1	HSP82 
YJR134C	YLR262C	SGM1	YPT6 
YLR119W	YLR119W	SRN2	SRN2 
YLR119W	YMR032W	SRN2	HOF1 
YLR119W	YPL065W	SRN2	VPS28 
YDR165W	YER125W	TRM82	RSP5 
YNL311C	YNL311C	SKP2	SKP2 
YLR242C	YLR242C	ARV1	ARV1 
YML029W	YOR288C	USA1	MPD1 
YML029W	YPR113W	USA1	PIS1 
YML029W	YNL219C	USA1	ALG9 
YML029W	YML029W	USA1	USA1 
YLR337C	YLR337C	VRP1	VRP1 
YLR337C	YMR109W	VRP1	MYO5 
YLR337C	YMR032W	VRP1	HOF1 
YLR337C	YOR181W	VRP1	LAS17 
YLR333C	YPL004C	RPS25B	LSP1 
YNR060W	YNR060W	FRE4	FRE4 
YDL101C	YDL101C	DUN1	DUN1 
YDL101C	YPL269W	DUN1	KAR9 
YDL101C	YKL025C	DUN1	PAN3 
YDL101C	YHR135C	DUN1	YCK1 
YDL101C	YDR051C	DUN1	DET1 
YDL101C	YPL153C	DUN1	RAD53 
YDL101C	YML058W	DUN1	SML1 
YDL101C	YLR234W	DUN1	TOP3 
YDR195W	YDR195W	REF2	REF2 
YDR195W	YER133W	REF2	GLC7 
YDR195W	YGL153W	REF2	PEX14 
YDL102W	YJR006W	POL3	POL31 
YBR126C	YMR261C	TPS1	TPS3 
YBR126C	YML100W	TPS1	TSL1 
YBR126C	YOR098C	TPS1	NUP1 
YBR126C	YDR074W	TPS1	TPS2 
YBR126C	YBR126C	TPS1	TPS1 
YJL081C	YOR244W	ARP4	ESA1 
YDR328C	YOR057W	SKP1	SGT1 
YDR328C	YLR429W	SKP1	CRN1 
YDR328C	YJR090C	SKP1	GRR1 
YDR328C	YMR258C	SKP1	YMR258C 
YDR328C	YMR277W	SKP1	FCP1 
YDR328C	YMR094W	SKP1	CTF13 
YDR328C	YLR079W	SKP1	SIC1 
YDR328C	YDR328C	SKP1	SKP1 
YDR328C	YIL046W	SKP1	MET30 
YDR328C	YFL009W	SKP1	CDC4 
YDR328C	YJL204C	SKP1	RCY1 
YDR328C	YJR033C	SKP1	RAV1 
YDR328C	YLR399C	SKP1	BDF1 
YDR328C	YOL133W	SKP1	HRT1 
YDR328C	YLR368W	SKP1	MDM30 
YDR328C	YLR352W	SKP1	YLR352W 
YDR328C	YLR224W	SKP1	YLR224W 
YDR328C	YML088W	SKP1	UFO1 
YDR328C	YLR097C	SKP1	HRT3 
YDR328C	YLR267W	SKP1	BOP2 
YGR021W	YHR165C	YGR021W	PRP8 
YPL237W	YPR041W	SUI3	TIF5 
YMR224C	YNL023C	MRE11	FAP1 
YMR224C	YMR224C	MRE11	MRE11 
YMR224C	YNL250W	MRE11	RAD50 
YMR224C	YNL172W	MRE11	APC1 
YPR105C	YPR105C	COG4	COG4 
YGR128C	YHR196W	UTP8	UTP9 
YGR128C	YPL126W	UTP8	NAN1 
YDL132W	YDR054C	CDC53	CDC34 
YDL132W	YJR090C	CDC53	GRR1 
YDL132W	YOL133W	CDC53	HRT1 
YDL132W	YDR139C	CDC53	RUB1 
YDL132W	YLR368W	CDC53	MDM30 
YDL132W	YLR128W	CDC53	DCN1 
YDL132W	YLR079W	CDC53	SIC1 
YDL132W	YDR328C	CDC53	SKP1 
YDL132W	YIL046W	CDC53	MET30 
YDL132W	YDL132W	CDC53	CDC53 
YDL132W	YML088W	CDC53	UFO1 
YDL132W	YFL009W	CDC53	CDC4 
YDL132W	YLR100W	CDC53	ERG27 
YDL132W	YOL025W	CDC53	LAG2 
YDL132W	YGL249W	CDC53	ZIP2 
YDL132W	YDR285W	CDC53	ZIP1 
YDL132W	YLR267W	CDC53	BOP2 
YNR039C	YNR039C	ZRG17	ZRG17 
YCR010C	YFL055W	ADY2	AGP3 
YCR010C	YJR040W	ADY2	GEF1 
YCR010C	YEL063C	ADY2	CAN1 
YCR010C	YCR010C	ADY2	ADY2 
YCR010C	YCR061W	ADY2	YCR061W 
YDR283C	YPL240C	GCN2	HSP82 
YDR283C	YGL195W	GCN2	GCN1 
YDR283C	YDR283C	GCN2	GCN2 
YGR183C	YOR065W	QCR9	CYT1 
YNL309W	YPR120C	STB1	CLB5 
YNL309W	YNL309W	STB1	STB1 
YNL309W	YOL004W	STB1	SIN3 
YGR179C	YPL018W	OKP1	CTF19 
YGR179C	YLR315W	OKP1	NKP2 
YGR179C	YML109W	OKP1	ZDS2 
YGR179C	YGR179C	OKP1	OKP1 
YGR179C	YPL233W	OKP1	NSL1 
YGR179C	YIL150C	OKP1	MCM10 
YGR179C	YPL209C	OKP1	IPL1 
YGR175C	YGR175C	ERG1	ERG1 
YGR175C	YGR289C	ERG1	MAL11 
YAR020C	YAR020C	PAU7	PAU7 
YAR020C	YBR222C	PAU7	PCS60 
YKR072C	YML016C	SIS2	PPZ1 
YMR192W	YMR192W	GYL1	GYL1 
YMR192W	YPR154W	GYL1	PIN3 
YMR192W	YPL249C	GYL1	GYP5 
YDL103C	YDR288W	QRI1	NSE3 
YHL003C	YHL003C	LAG1	LAG1 
YHL003C	YPL094C	LAG1	SEC62 
YHL003C	YMR298W	LAG1	LIP1 
YHL003C	YJL183W	LAG1	MNN11 
YHL003C	YHL048W	LAG1	COS8 
YHL003C	YJR010CA	LAG1	SPC1 
YHL003C	YOR223W	LAG1	YOR223W 
YHL003C	YKL008C	LAG1	LAC1 
YHL003C	YNL101W	LAG1	AVT4 
YHL003C	YHR110W	LAG1	ERP5 
YHL003C	YHR142W	LAG1	CHS7 
YHL003C	YMR149W	LAG1	SWP1 
YHL003C	YOR092W	LAG1	ECM3 
YJL155C	YLR345W	FBP26	YLR345W 
YOL132W	YPL274W	GAS4	SAM3 
YOL132W	YOR099W	GAS4	KTR1 
YOL132W	YOR016C	GAS4	ERP4 
YOL132W	YOL132W	GAS4	GAS4 
YNR048W	YNR048W	YNR048W	YNR048W 
YDL134C	YIL021W	PPH21	RPB3 
YDL134C	YPR040W	PPH21	TIP41 
YDL134C	YMR028W	PPH21	TAP42 
YHR083W	YHR083W	SAM35	SAM35 
YHR083W	YNL092W	SAM35	YNL092W 
YLL023C	YLL056C	POM33	YLL056C 
YLL023C	YMR215W	POM33	GAS3 
YLL023C	YNR026C	POM33	SEC12 
YLL023C	YML048W	POM33	GSF2 
YLL023C	YLL023C	POM33	POM33 
YLL023C	YNL044W	POM33	YIP3 
YLL023C	YOL030W	POM33	GAS5 
YLL023C	YLR372W	POM33	SUR4 
YLL023C	YMR292W	POM33	GOT1 
YLL023C	YPR028W	POM33	YOP1 
YBR216C	YML007W	YBP1	YAP1 
YCR035C	YGR095C	RRP43	RRP46 
YCR035C	YOL021C	RRP43	DIS3 
YCR035C	YPL211W	RRP43	NIP7 
YMR026C	YMR026C	PEX12	PEX12 
YDR176W	YDR448W	NGG1	ADA2 
YDR176W	YPL254W	NGG1	HFI1 
YDR176W	YGL112C	NGG1	TAF6 
YDR176W	YDR176W	NGG1	NGG1 
YDR176W	YER151C	NGG1	UBP3 
YDR176W	YMR236W	NGG1	TAF9 
YDR176W	YLR055C	NGG1	SPT8 
YDR176W	YER148W	NGG1	SPT15 
YDR176W	YOL148C	NGG1	SPT20 
YGL004C	YGR232W	RPN14	NAS6 
YGL004C	YGL048C	RPN14	RPT6 
YDR020C	YPR141C	DAS2	KAR3 
YDR020C	YNR012W	DAS2	URK1 
YKL165C	YKL165C	MCD4	MCD4 
YKL165C	YLR372W	MCD4	SUR4 
YKL165C	YPR028W	MCD4	YOP1 
YDL091C	YER125W	UBX3	RSP5 
YJL154C	YOR069W	VPS35	VPS5 
YJL154C	YJL154C	VPS35	VPS35 
YDR074W	YER019CA	TPS2	SBH2 
YDR074W	YDR074W	TPS2	TPS2 
YBR240C	YDL080C	THI2	THI3 
YKL151C	YPL070W	YKL151C	MUK1 
YOR144C	YOR144C	ELG1	ELG1 
YLL062C	YLL062C	MHT1	MHT1 
YLL062C	YOL143C	MHT1	RIB4 
YER089C	YPL153C	PTC2	RAD53 
YER089C	YER089C	PTC2	PTC2 
YDL175C	YOL115W	AIR2	PAP2 
YDL175C	YJL124C	AIR2	LSM1 
